Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ,HandCloseCount
58.58918,-1.055252,1.482502,0.2185833,-0.2926127,-0.2283579,0.8836051,-0.2854339,1.156748,-0.5300437,0.3746138,-1.261864,1.493304,-0.2937545,0.4163215,0.7072524,-0.5665551,-0.07406574,0.4843135,-0.355198,-0.6431754,0
59.48059,-0.2235301,1.897915,-0.2178034,0.6771511,-0.5153113,0.3472133,-0.3941618,0.5599536,0.1733971,0.9395277,-0.5728123,1.907385,-0.6912262,0.4103355,0.7563066,0.3243445,0.3929703,-0.4502044,0.1901032,-0.8715565,0
59.59162,-0.2015664,1.888926,-0.05326503,0.6229339,-0.4464574,0.4441343,-0.4640839,0.2013084,-0.05684738,1.381047,-0.7016089,1.905902,-0.7978473,0.4183384,0.8317969,0.2459293,0.2694915,-1.094326,0.09074875,-0.9128832,0
59.7033,-0.2379366,1.872092,0.1019112,0.5177943,-0.4151626,0.5057782,-0.5511058,-0.2495621,-0.1241721,1.361802,-0.8482817,1.887563,-0.8313729,0.3814054,0.892269,0.1783437,0.1630321,-1.308007,-0.07167388,-0.384048,0
59.81489,-0.3172899,1.850116,0.1916677,0.485127,-0.3522522,0.5614249,-0.5704142,-0.6281851,-0.2118614,0.8925599,-0.9716066,1.831034,-0.8186729,0.4446639,0.8871729,0.07850279,0.09505504,-1.112719,-0.3120999,0.06652401,0
59.92623,-0.4117907,1.822379,0.2447191,0.4141538,-0.3534023,0.5696839,-0.6156653,-0.8294153,-0.2618887,0.5415901,-1.07303,1.780697,-0.7569876,0.4550726,0.8904027,0.001311439,0.009500525,-0.9817926,-0.3419904,0.4828625,0
60.03746,-0.5312229,1.786085,0.2819865,0.2649609,-0.3231618,0.4814389,-0.7704406,-1.091876,-0.3081791,0.4444242,-1.156674,1.728109,-0.6622775,0.4070109,0.9059265,-0.08149865,-0.08364976,-0.8399966,-0.3117146,0.8069341,0
60.14837,-0.6684811,1.71008,0.294649,0.2515223,-0.180234,0.5675218,-0.7630015,-1.215451,-0.744314,0.1696958,-1.227624,1.658178,-0.5384701,0.3498946,0.8878343,-0.226217,-0.1953203,-0.6417816,-0.493391,1.079439,0
60.2601,-0.799398,1.621833,0.2775108,0.08161279,-0.1646857,0.5461217,-0.8172938,-1.127733,-0.916283,-0.1670132,-1.215628,1.570622,-0.3763332,0.3234129,0.8275468,-0.4128905,-0.2002292,0.1065992,-0.7476621,1.231827,0
60.3712,-0.9025205,1.53383,0.2406313,-0.08456731,-0.1847755,0.6296688,-0.7498157,-0.8460175,-0.8534444,-0.3763003,-1.199127,1.498398,-0.268629,0.3614178,0.7455581,-0.5534475,-0.08494812,0.106803,-0.6133529,0.8073323,0
60.48274,-0.8809896,1.534629,0.2005184,-0.04107982,-0.2873714,0.5809838,-0.7603867,0.1856196,0.1040382,-0.3045897,-1.165851,1.487274,-0.2648321,0.367211,0.7495238,-0.5490813,0.04335634,0.4665668,-0.2024311,0.0769504,0
61.31833,-0.3413104,1.777877,-0.01877164,0.3932964,-0.6151081,0.2189384,-0.6473222,0.1454577,-0.3505552,0.994324,-0.476195,1.769196,-0.5313662,0.3311971,0.6996868,0.3260162,0.5426421,-0.0407898,-0.05468757,-0.9078478,0
61.42924,-0.3906923,1.723272,0.1497248,0.3243103,-0.4928688,0.3369693,-0.7337267,-0.3881195,-0.5685961,1.440241,-0.543998,1.738546,-0.6703048,0.4174334,0.7566268,0.2379949,0.4434226,-0.5672182,-0.1520966,-1.175314,0
61.53875,-0.4976847,1.681709,0.2603491,0.2350962,-0.390726,0.4094934,-0.790176,-0.8890494,-0.4983653,1.07301,-0.6459124,1.713837,-0.7578321,0.459963,0.7992267,0.1563744,0.3538612,-0.8816027,-0.1330039,-0.8671386,0
61.64957,-0.6035947,1.645784,0.3077323,0.169464,-0.3123908,0.4528544,-0.81769,-0.9565229,-0.4422808,0.549269,-0.7470915,1.687018,-0.8026523,0.5006021,0.8208697,0.07363983,0.2648538,-0.9119539,-0.1353025,-0.4943063,0
61.76178,-0.7062546,1.596476,0.3270887,0.07616031,-0.2428291,0.4964022,-0.8299509,-0.9458489,-0.5400479,0.2177121,-0.8397792,1.686676,-0.815587,0.3929806,0.9130364,0.006380857,0.1090416,-0.988874,0.03362043,-0.2209057,0
61.87194,-0.8227727,1.538897,0.3240201,-0.02595255,-0.1575913,0.5463285,-0.8222023,-1.045406,-0.6394706,-0.01215474,-0.9451273,1.63941,-0.7857201,0.379833,0.9223747,-0.06355704,-0.03020389,-1.006254,-0.2964478,0.1957453,0
61.98428,-0.9620927,1.476193,0.3127871,-0.1815247,-0.04201177,0.5822138,-0.7913981,-1.209696,-0.6327205,-0.2263024,-1.039332,1.589809,-0.7309807,0.4358432,0.8804968,-0.157783,-0.09935104,-0.901239,-0.2963708,0.4156679,0
