Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ
106.9582,0.7831022,1.001786,0.2747176,0.6339803,-0.6172726,0.46571,-0.01256511,0.5461205,-0.07095719,1.050943,0.4064055,1.058427,-0.1620455,-0.8351495,-0.365843,-0.06415883,-0.4056697,-1.037302,0.02042388,-0.6814523
107.0632,0.7998024,1.005707,0.3765623,0.5806721,-0.6142108,0.5289894,-0.07573061,0.2243871,0.02912991,1.104461,0.2998392,1.061159,-0.1887418,-0.8368446,-0.4093177,0.02621225,-0.3625783,-1.166047,0.03488775,-0.3121478
107.1667,0.7875024,1.012393,0.4766598,0.5079117,-0.616154,0.5859489,-0.1379991,-0.0788666,0.05340677,0.9806009,0.1873522,1.061206,-0.1787852,-0.8188944,-0.455375,0.1237999,-0.3266789,-1.10313,-0.008598302,0.07389516
107.2722,0.7522803,1.020277,0.5388561,0.457864,-0.6125776,0.6189344,-0.178968,-0.3350641,0.06347317,0.6926179,0.1055968,1.05735,-0.1387106,-0.7904937,-0.4913758,0.2026129,-0.3043313,-0.9056411,-0.05622522,0.3995163
107.3759,0.7054125,1.025299,0.5728968,0.396843,-0.6252741,0.63621,-0.2162977,-0.4328135,0.02759544,0.3435542,0.04490103,1.049978,-0.07489316,-0.746745,-0.5256984,0.2899926,-0.2862122,-0.5986378,-0.09583738,0.604229
107.482,0.6759267,1.019835,0.5673848,0.3630961,-0.6518293,0.6308357,-0.2129,-0.3133671,-0.0808104,-0.04991499,0.03140149,1.037377,-0.02388927,-0.7190996,-0.5290091,0.3342266,-0.3022214,-0.1695949,-0.1526842,0.5587776
108.0611,0.7166594,1.126544,0.2152846,0.30152,-0.8515023,0.3232753,-0.2819977,-0.09221462,0.5781462,-0.1324509,0.4471305,1.146907,-0.06559076,-0.3438919,-0.8162424,0.08690505,-0.455998,0.2178533,0.6397725,0.003445625
108.1663,0.7098081,1.221922,0.2390221,0.2579111,-0.8807954,0.2272577,-0.3256308,-0.08968528,1.017214,0.1938982,0.4251439,1.240393,-0.06371789,-0.2544192,-0.8473294,0.02530943,-0.465471,-0.161508,1.027986,0.03462592
108.2719,0.6820347,1.33847,0.2805232,0.2338504,-0.9048898,0.07057716,-0.348579,-0.259461,1.153016,0.3580996,0.3775566,1.347739,-0.05285856,-0.1590237,-0.86892,-0.06160962,-0.4646436,-0.4125791,1.082219,0.1056622
108.3768,0.6460679,1.432679,0.3295085,0.225423,-0.8987906,-0.09150694,-0.364673,-0.3515125,0.9769127,0.4759016,0.3212186,1.435598,-0.02656452,-0.04701322,-0.8602894,-0.1495262,-0.4851123,-0.5110852,0.9121498,0.2604581
108.4836,0.6119519,1.48593,0.36802,0.2164156,-0.8835356,-0.2042377,-0.3616851,-0.3767161,0.6586637,0.4279304,0.2768722,1.487188,0.00127143,-0.005062923,-0.8471514,-0.23237,-0.477821,-0.47001,0.630877,0.3041819
108.589,0.5803737,1.523994,0.3951696,0.2270436,-0.861361,-0.2853353,-0.3536837,-0.318426,0.4042563,0.2912722,0.2340823,1.529963,0.03153414,0.05870402,-0.8192251,-0.3008922,-0.4846524,-0.4306667,0.4721953,0.3255899
108.6957,0.5519391,1.549128,0.4174014,0.2195576,-0.851541,-0.3504085,-0.322314,-0.3349195,0.3106915,0.2614065,0.1889348,1.553536,0.05717596,0.102244,-0.7812493,-0.3643558,-0.4964278,-0.437555,0.3381694,0.3497383
108.8014,0.5203185,1.570342,0.4478805,0.2187038,-0.8251634,-0.4368677,-0.2835853,-0.3436853,0.2307208,0.3271505,0.1480971,1.571468,0.08820698,0.1700518,-0.7135394,-0.4301759,-0.5262061,-0.4375829,0.2005685,0.3429762
108.9073,0.5013329,1.576797,0.4726726,0.2264538,-0.7939893,-0.4999662,-0.2614068,-0.2394983,0.103158,0.2954193,0.1210719,1.570589,0.1055706,0.2138006,-0.6403362,-0.4753214,-0.5642062,-0.3210133,0.0229178,0.2670636
109.0136,0.4946706,1.576139,0.4837741,0.2293326,-0.7744436,-0.5320841,-0.2540276,-0.07441752,-0.001181827,0.1221332,0.1105574,1.56144,0.1076693,0.2334806,-0.5810896,-0.5082585,-0.5911809,-0.1214584,-0.08394283,0.06130279
109.1197,0.5111006,1.565108,0.4670269,0.20542,-0.7939193,-0.5107855,-0.2580564,0.1859685,-0.1115844,-0.1696471,0.132318,1.54803,0.075726,0.2523224,-0.6047465,-0.4637312,-0.5962957,0.2265733,-0.1372019,-0.3323743
109.9875,0.7659292,1.183476,0.1229495,0.8363687,-0.4997492,0.2226685,-0.03401323,0.7608327,0.02603706,0.3632355,0.4455566,1.264458,-0.2497279,-0.8355601,-0.4505813,-0.2413439,-0.2014173,-0.8035768,0.09321842,-1.043575
110.0908,0.8241942,1.188469,0.1876004,0.8060533,-0.5033084,0.2940024,-0.1025734,0.6808475,0.02511171,0.7165005,0.3457102,1.273329,-0.3158097,-0.8514044,-0.4867471,-0.1371563,-0.1391976,-1.161711,0.07881302,-0.7350317
110.1933,0.8619237,1.177573,0.274372,0.759724,-0.5136973,0.3698474,-0.1488206,0.4010352,-0.1233934,0.8525633,0.220761,1.266107,-0.3494026,-0.8540626,-0.5093961,-0.01575524,-0.1041371,-1.262395,-0.09097787,-0.3083693
